date,game_result,game_time,champion,kills,deaths,assists,damage
Jun 20 2021 10:57 PM,Victory,12m 33s,Twisted Fate,9,5,22,"24,168"
Jun 20 2021 10:42 PM,Defeat,19m 45s,Diana,6,15,27,"29,602"
Jun 20 2021 10:18 PM,Victory,13m 18s,Trundle,3,5,25,"11,513"
Jun 19 2021 11:41 PM,Victory,21m 38s,Jinx,11,11,30,"29,794"
Jun 19 2021 11:17 PM,Victory,15m 16s,Talon,7,9,24,"17,350"
Jun 19 2021 10:59 PM,Victory,12m 39s,Tristana,11,8,13,"15,939"
Jun 19 2021 10:39 PM,Defeat,19m 49s,Ezreal,15,11,16,"41,203"
Jun 19 2021 10:13 PM,Defeat,17m 29s,Shaco,9,11,12,"12,838"
Jun 19 2021 9:52 PM,Defeat,17m 23s,Senna,9,8,23,"20,757"
Jun 18 2021 10:27 PM,Defeat,29m 21s,Kha'Zix,11,19,27,"37,309"
Jun 18 2021 9:55 PM,Defeat,20m 38s,Azir,8,10,25,"36,988"
Jun 18 2021 9:24 PM,Victory,9m 6s,Jayce,6,5,27,"14,115"
Jun 18 2021 9:12 PM,Defeat,24m 26s,Kalista,17,14,20,"33,337"
Jun 17 2021 11:18 PM,Victory,19m 4s,Twisted Fate,8,10,20,"20,503"
Jun 17 2021 10:56 PM,Defeat,20m 16s,Draven,12,14,20,"36,979"
Jun 17 2021 10:26 PM,Defeat,13m 44s,Soraka,3,10,16,"6,414"
Jun 17 2021 10:10 PM,Victory,16m 1s,Jinx,11,7,18,"25,773"
Jun 17 2021 9:50 PM,Defeat,22m 42s,Caitlyn,19,10,28,"60,004"
Jun 17 2021 9:24 PM,Defeat,24m 40s,Syndra,21,9,21,"45,214"
Jun 16 2021 10:51 PM,Victory,17m 50s,Nocturne,10,9,21,"18,717"
Jun 16 2021 10:31 PM,Defeat,13m 46s,Vayne,12,9,12,"16,659"
Jun 16 2021 10:14 PM,Victory,16m 58s,Caitlyn,13,4,20,"27,722"
Jun 16 2021 9:54 PM,Victory,12m 6s,Gwen,7,5,15,"13,009"
Jun 16 2021 9:39 PM,Victory,16m 35s,Fiddlesticks,11,8,16,"16,918"
Jun 15 2021 11:13 PM,Victory,18m 55s,Jhin,14,10,29,"32,095"
Jun 15 2021 10:52 PM,Defeat,23m 28s,Ezreal,18,10,26,"44,291"
Jun 15 2021 10:25 PM,Defeat,16m 58s,Corki,4,7,16,"17,422"
Jun 14 2021 10:49 PM,Victory,13m 37s,Varus,9,5,16,"19,765"
Jun 14 2021 10:32 PM,Defeat,15m 20s,LeBlanc,8,11,13,"20,373"
Jun 14 2021 10:14 PM,Victory,9m 8s,Braum,5,5,22,"5,510"
Jun 14 2021 10:03 PM,Defeat,17m 40s,Sona,3,6,35,"8,928"
Jun 14 2021 9:39 PM,Victory,11m 38s,Aphelios,13,7,11,"18,530"
Jun 14 2021 9:25 PM,Victory,23m 25s,Draven,12,12,21,"33,704"
Jun 14 2021 8:56 PM,Defeat,26m 45s,Lee Sin,11,14,31,"37,979"
Jun 13 2021 10:39 PM,Victory,21m 4s,Lucian,17,11,19,"38,758"
Jun 13 2021 10:15 PM,Defeat,14m 14s,Yorick,6,9,9,"13,339"
Jun 13 2021 9:58 PM,Defeat,12m 27s,LeBlanc,4,9,13,"12,703"
Jun 12 2021 11:24 PM,Victory,23m 11s,Aurelion Sol,19,12,20,"34,085"
Jun 12 2021 10:58 PM,Victory,26m 22s,Cassiopeia,21,9,28,"54,660"
Jun 12 2021 10:28 PM,Victory,19m 15s,Orianna,4,7,24,"23,564"
Jun 12 2021 10:05 PM,Victory,13m 4s,Viktor,14,5,19,"23,699"
