game_id,game_duration,champion,win,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,damageSelfMitigated,timeCCingOthers,totalDamageTaken,goldEarned,goldSpent,totalTimeCrowdControlDealt
3177215441,1710,61,False,16,9,35,3,2,6,215,4,0,0,0,151331,142790,7002,1538,45601,42611,1451,1538,2631,17089,30,26618,18657,20240,382
3176154391,1377,245,True,18,10,24,4,2,5,158,2,0,0,0,120192,92214,9920,18057,32496,27238,4201,1057,16697,39479,32,42574,16359,14850,330
3174810717,1053,163,True,27,6,17,5,4,6,214,4,4,1,0,89376,84880,3737,758,37526,35928,912,685,11254,12134,27,26091,15429,12050,364
3174767004,1053,21,False,5,9,26,0,1,0,167,0,0,0,0,73421,47527,25015,877,34995,22656,11460,877,715,7872,26,18119,10687,16285,296
3174764116,841,112,True,5,5,24,2,1,1,252,0,0,0,0,36525,32222,3949,353,20708,19403,951,353,783,6378,43,9210,9046,7000,223
3174726270,1414,74,True,6,10,35,2,2,2,200,1,0,0,0,79991,71217,6705,2068,29460,26605,847,2007,1959,7333,17,24135,14564,13100,120
3174346234,970,56,True,8,8,15,3,2,2,142,1,0,0,0,30668,420,29746,501,16333,376,15555,402,3414,14562,110,17668,11078,10050,269
3173740656,952,112,False,10,8,17,4,3,2,129,2,1,0,0,59363,55725,3027,610,25241,24084,641,515,449,9103,26,14000,11229,10450,229
3173647395,1308,517,False,18,15,24,5,3,4,135,3,1,0,0,92001,88257,1653,2090,38207,35939,232,2035,3946,23704,28,36026,15083,14300,303
3173596921,1685,7,True,33,15,19,6,3,10,175,3,1,0,0,106133,91724,11537,2871,56400,52738,2067,1594,11335,28601,7,52367,19945,19250,34
3172919855,1446,51,False,21,13,17,4,3,6,221,5,1,0,0,153631,33573,115169,4888,51998,8263,43356,378,1809,10195,37,30286,17704,16800,182
3172895714,1040,115,True,6,7,25,3,3,2,201,1,1,0,0,62235,48699,2153,11382,24806,22911,567,1327,545,6868,33,14262,10563,8685,194
3172847827,1340,18,True,12,10,15,3,2,4,197,1,0,0,0,117896,34544,82646,705,25132,4290,20136,705,1865,12587,3,26688,15683,14100,14
3172733099,1209,222,False,9,12,28,3,2,2,128,2,0,0,0,89610,3862,85320,427,28682,1512,26742,427,1759,7238,17,23015,13284,12050,55
3170217208,1012,51,False,9,9,16,3,2,2,175,1,0,0,0,95191,14392,79722,1076,22864,2062,19804,996,940,9058,31,19234,11363,9950,51
3170202746,1533,51,False,22,12,21,4,2,8,146,5,0,0,0,194020,24711,168640,668,58534,7182,50683,668,2785,19629,42,32691,18648,17100,68
3170166256,961,517,False,6,11,12,2,2,1,113,1,0,0,0,42597,41028,1192,376,15818,15371,69,376,3211,15219,23,22291,9418,8185,202
3169217657,726,96,True,4,5,15,3,2,1,201,1,0,0,0,27049,5635,17062,4351,11728,4574,5844,1309,850,4000,11,9760,7749,7150,113
3168513352,897,76,True,4,5,16,2,2,1,371,1,0,0,0,40524,30842,9299,383,17608,16764,460,383,3747,4523,0,11993,8614,7600,1
3168501210,1068,4,False,8,8,29,3,1,2,189,0,0,0,0,75864,69572,5567,723,29544,26822,1998,723,1735,7819,42,19388,11387,10900,97
3168448411,1352,498,False,21,10,27,4,3,7,218,4,2,0,0,130637,4267,125508,861,37305,1170,35273,861,2909,14996,25,28503,17070,16500,45
3167425575,1292,51,True,7,9,32,2,2,2,292,1,0,0,0,99866,3312,95098,1455,32496,1718,29407,1370,1738,13267,23,25649,14411,13300,43
3167421832,1745,7,False,13,16,31,2,2,2,188,1,0,0,0,87481,76256,9313,1912,41273,37568,2145,1558,7901,26914,19,39968,17144,15100,25
3167359436,1245,67,False,20,12,18,6,3,5,134,4,1,0,0,79761,19483,50299,9978,27692,4811,16616,6264,5657,11107,12,26296,15383,14410,58
3167366327,1048,81,False,2,7,24,0,1,0,208,0,0,0,0,67309,15034,52080,195,20961,7628,13212,120,676,5977,0,14160,10894,10533,0
3165854869,1237,202,True,15,6,28,5,3,4,360,2,1,0,0,110002,12942,96822,237,33698,3182,30328,186,6734,10841,24,20339,15810,14100,100
3165822317,1336,134,False,26,11,30,5,3,7,174,6,1,0,0,123768,116262,4004,3501,51983,47589,1284,3109,898,15320,61,25928,17644,17400,241
